Wall time,Step,Value
1701331749.059216,33,4503044.0
1701331906.8034346,67,80052.828125
1701332064.058847,101,44752.66015625
1701332221.6039026,135,26052.580078125
1701332379.122618,169,26348.435546875
1701332536.6311276,203,24856.37890625
1701332693.8355324,237,29980.7421875
1701332851.190774,271,26275.990234375
1701333008.6444752,305,23766.802734375
1701333165.5804474,339,18271.078125
1701333322.7660012,373,14179.736328125
1701333479.7990298,407,13925.2998046875
1701333637.7058372,441,11843.072265625
1701333795.5238178,475,11550.2197265625
1701333953.408649,509,14304.3544921875
1701334110.5892117,543,12386.369140625
1701334268.6956604,577,10902.1533203125
1701334426.022392,611,13993.4853515625
1701334583.3801134,645,10717.4951171875
1701334740.7434893,679,10249.5166015625
1701334898.6100588,713,13234.6005859375
1701335056.53586,747,10462.1953125
1701335214.8298788,781,8991.7880859375
1701335371.9744213,815,9876.8662109375
1701335529.4199524,849,9080.6474609375
1701335686.5257647,883,9983.947265625
1701335843.9009557,917,9294.0810546875
1701336001.2226942,951,9543.3984375
1701336158.3665638,985,8692.712890625
1701336315.3607817,1019,11643.78125
1701336472.6732488,1053,8402.0263671875
1701336630.0206847,1087,9645.0517578125
1701336787.7220106,1121,9059.232421875
1701336945.148661,1155,9291.1494140625
1701337102.950824,1189,7891.845703125
1701337260.291005,1223,10118.7607421875
1701337417.9967468,1257,9369.0078125
1701337575.7327967,1291,8879.962890625
1701337733.173058,1325,9542.296875
1701337890.7109718,1359,8727.2294921875
1701338048.395292,1393,9816.1435546875
1701338205.957394,1427,9900.9921875
1701338363.4287703,1461,8074.814453125
1701338521.2052002,1495,9557.654296875
1701338678.8322697,1529,9180.287109375
1701338836.4795132,1563,9155.2265625
1701338994.1402135,1597,8807.302734375
1701339151.4549568,1631,9689.1083984375
1701339309.066348,1665,9433.3974609375
