Wall time,Step,Value
1702395968.4118698,33,1878700.0
1702396192.8617976,67,28403.48046875
1702396416.0503838,101,27291.81640625
1702396644.0318367,135,27163.416015625
1702396867.9154122,169,28276.994140625
1702397094.330556,203,29408.265625
1702397319.581837,237,30875.109375
1702397548.4452214,271,21049.84375
1702397774.8888834,305,22960.94140625
1702397994.359147,339,30087.837890625
1702398221.4105177,373,20528.802734375
1702398446.5376825,407,20829.693359375
1702398670.9719799,441,15961.3896484375
1702398900.1078243,475,16641.78125
1702399128.2290637,509,16806.28125
1702399354.7663574,543,19386.13671875
1702399571.593146,577,16795.2890625
1702399794.4333208,611,16086.2685546875
1702400019.163001,645,15429.8291015625
1702400238.2841814,679,15369.6572265625
1702400462.5966983,713,15470.6103515625
1702400688.8894916,747,15397.8974609375
1702400915.363214,781,13281.9287109375
1702401139.764637,815,15277.953125
1702401365.7114842,849,13868.1669921875
1702401595.9778924,883,14896.4140625
1702401817.9549055,917,14636.33203125
1702402038.6705642,951,13925.55859375
1702402264.365035,985,14366.6044921875
1702402490.318514,1019,15271.6904296875
1702402715.1654384,1053,15488.845703125
1702402938.50177,1087,12562.3349609375
1702403166.0509825,1121,13243.26953125
1702403389.53767,1155,14268.0205078125
1702403619.0183685,1189,12667.7216796875
1702403848.8598151,1223,13598.4130859375
1702404067.0212727,1257,13874.28125
1702404278.2005107,1291,12362.18359375
1702404492.6285517,1325,16720.537109375
1702404712.383614,1359,12402.248046875
1702404917.164962,1393,14275.78515625
1702405080.2647033,1427,13394.205078125
1702405242.5552094,1461,12668.2294921875
1702405407.5557375,1495,10866.7138671875
1702405568.9553027,1529,14048.38671875
1702405730.8283749,1563,13570.970703125
1702405892.343147,1597,14546.34765625
1702406054.27111,1631,14967.548828125
1702406216.0519342,1665,15167.0576171875
1702406378.8033319,1699,15116.595703125
1702406541.2346537,1733,13963.3994140625
1702406702.4836044,1767,13367.482421875
1702406862.1359143,1801,13467.814453125
1702407020.2335196,1835,13591.17578125
1702407178.2363076,1869,13617.07421875
1702407336.2060273,1903,14396.5556640625
1702407494.6395106,1937,12737.8671875
1702407652.6128216,1971,12573.5400390625
1702407810.686588,2005,13416.58203125
1702407968.1905522,2039,13321.1982421875
1702408125.9424706,2073,11507.513671875
1702408284.3253503,2107,13665.8955078125
1702408442.2653933,2141,12699.8203125
1702408600.2843482,2175,13316.68359375
1702408758.0737672,2209,13820.7568359375
1702408916.028628,2243,14001.1572265625
